anno;PROVINCIA_CCIAA;COD_PROVINCIA_SEDE_LEGALE;DES_PROVINCIA_SEDE_LEGALE;COD_COMUNE_SEDE_LEGALE;COMUNE;GRUPPO_NATURA_GIURIDICA;ATECO_COD_SEZIONE;ATECO_DES_SEZIONE;NUMERO_IMPRESE;IMPRESE ATTIVE;;
2015;AR;51;AREZZO;51003;BADIA TEDALDA;DITTE INDIVIDUALI;S;ALTRE ATTIVITè DI SERVIZI;5;5;;
2015;AR;51;AREZZO;51003;BADIA TEDALDA;SOCIETè DI CAPITALE;n;Non indicato;2;0;;
2015;AR;51;AREZZO;51003;BADIA TEDALDA;SOCIETè DI CAPITALE;A;AGRICOLTURA, SILVICOLTURA E PESCA;3;2;;
2015;AR;51;AREZZO;51003;BADIA TEDALDA;SOCIETè DI CAPITALE;C;ATTIVITè MANIFATTURIERE;1;1;;
2015;AR;51;AREZZO;51003;BADIA TEDALDA;SOCIETè DI CAPITALE;D;FORNITURA DI ENERGIA ELETTRICA, GAS, VAPORE E ARIA CONDIZIONATA;2;2;;
2015;AR;51;AREZZO;51003;BADIA TEDALDA;SOCIETè DI CAPITALE;G;"COMMERCIO ALL'INGROSSO E AL DETTAGLIO; RIPARAZIONE DI AUTOVEICOLI E MOTOCICLI";4;4;;
2015;AR;51;AREZZO;51003;BADIA TEDALDA;SOCIETè DI CAPITALE;I;ATTIVITè DEI SERVIZI DI ALLOGGIO E DI RISTORAZIONE;2;1;;
2015;AR;51;AREZZO;51003;BADIA TEDALDA;SOCIETè DI CAPITALE;L;ATTIVITè IMMOBILIARI;3;3;;
2015;AR;51;AREZZO;51003;BADIA TEDALDA;SOCIETè DI PERSONE;A;AGRICOLTURA, SILVICOLTURA E PESCA;8;8;;
2015;AR;51;AREZZO;51003;BADIA TEDALDA;SOCIETè DI PERSONE;C;ATTIVITè MANIFATTURIERE;4;3;;
2015;AR;51;AREZZO;51003;BADIA TEDALDA;SOCIETè DI PERSONE;D;FORNITURA DI ENERGIA ELETTRICA, GAS, VAPORE E ARIA CONDIZIONATA;1;1;;
2015;AR;51;AREZZO;51003;BADIA TEDALDA;SOCIETè DI PERSONE;F;COSTRUZIONI;2;2;;
2015;AR;51;AREZZO;51003;BADIA TEDALDA;SOCIETè DI PERSONE;G;"COMMERCIO ALL'INGROSSO E AL DETTAGLIO; RIPARAZIONE DI AUTOVEICOLI E MOTOCICLI";5;4;;
2015;AR;51;AREZZO;51003;BADIA TEDALDA;SOCIETè DI PERSONE;H;TRASPORTO E MAGAZZINAGGIO;1;1;;
2015;AR;51;AREZZO;51003;BADIA TEDALDA;SOCIETè DI PERSONE;I;ATTIVITè DEI SERVIZI DI ALLOGGIO E DI RISTORAZIONE;2;2;;
2015;AR;51;AREZZO;51004;BIBBIENA;ALTRE FORME;n;Non indicato;6;0;;
2015;AR;51;AREZZO;51004;BIBBIENA;ALTRE FORME;A;AGRICOLTURA, SILVICOLTURA E PESCA;2;1;;
2015;AR;51;AREZZO;51004;BIBBIENA;ALTRE FORME;C;ATTIVITè MANIFATTURIERE;10;7;;
2015;AR;51;AREZZO;51004;BIBBIENA;ALTRE FORME;F;COSTRUZIONI;18;13;;
2015;AR;51;AREZZO;51004;BIBBIENA;ALTRE FORME;G;"COMMERCIO ALL'INGROSSO E AL DETTAGLIO; RIPARAZIONE DI AUTOVEICOLI E MOTOCICLI";5;5;;
2015;AR;51;AREZZO;51004;BIBBIENA;ALTRE FORME;H;TRASPORTO E MAGAZZINAGGIO;2;1;;
2015;AR;51;AREZZO;51004;BIBBIENA;ALTRE FORME;I;ATTIVITè DEI SERVIZI DI ALLOGGIO E DI RISTORAZIONE;3;3;;
2015;AR;51;AREZZO;51004;BIBBIENA;ALTRE FORME;J;SERVIZI DI INFORMAZIONE E COMUNICAZIONE;1;1;;
2015;AR;51;AREZZO;51004;BIBBIENA;ALTRE FORME;M;ATTIVITè PROFESSIONALI, SCIENTIFICHE E TECNICHE;2;2;;
2015;AR;51;AREZZO;51004;BIBBIENA;ALTRE FORME;N;NOLEGGIO, AGENZIE DI VIAGGIO, SERVIZI DI SUPPORTO ALLE IMPRESE;3;2;;
2015;AR;51;AREZZO;51004;BIBBIENA;ALTRE FORME;P;ISTRUZIONE;2;2;;
2015;AR;51;AREZZO;51004;BIBBIENA;ALTRE FORME;Q;SANITè E ASSISTENZA SOCIALE;2;2;;
2015;AR;51;AREZZO;51004;BIBBIENA;ALTRE FORME;R;ATTIVITè ARTISTICHE, SPORTIVE, DI INTRATTENIMENTO E DIVERTIMENTO;6;6;;
2015;AR;51;AREZZO;51004;BIBBIENA;DITTE INDIVIDUALI;n;Non indicato;5;0;;
2015;AR;51;AREZZO;51004;BIBBIENA;DITTE INDIVIDUALI;A;AGRICOLTURA, SILVICOLTURA E PESCA;83;83;;
2015;AR;51;AREZZO;51004;BIBBIENA;DITTE INDIVIDUALI;C;ATTIVITè MANIFATTURIERE;54;53;;
2015;AR;51;AREZZO;51004;BIBBIENA;DITTE INDIVIDUALI;D;FORNITURA DI ENERGIA ELETTRICA, GAS, VAPORE E ARIA CONDIZIONATA;1;1;;
2015;AR;51;AREZZO;51004;BIBBIENA;DITTE INDIVIDUALI;F;COSTRUZIONI;90;86;;
