anno;CCIAA;codice_provincia;provincia;codice_comune;comune;natura_giuridica;sezione;settore_attivita;registrate;attive
2014;AR;051;AREZZO;051002;AREZZO;NON INDICATA;P;ISTRUZIONE;12;12
2014;AR;051;AREZZO;051002;AREZZO;NON INDICATA;Q;SANITÀ E ASSISTENZA SOCIALE;10;9
2014;AR;051;AREZZO;051002;AREZZO;NON INDICATA;R;ATTIVITÀ ARTISTICHE, SPORTIVE, DI INTRATTENIMENTO E DIVERTIMENTO;25;22
2014;AR;051;AREZZO;051002;AREZZO;NON INDICATA;S;ALTRE ATTIVITÀ DI SERVIZI;27;21
2014;AR;051;AREZZO;051002;AREZZO;SOCIETÀ DI CAPITALE;n;Non indicato;276;2
2014;AR;051;AREZZO;051002;AREZZO;SOCIETÀ DI CAPITALE;A;AGRICOLTURA, SILVICOLTURA E PESCA;30;25
2014;AR;051;AREZZO;051002;AREZZO;SOCIETÀ DI CAPITALE;B;ESTRAZIONE DI MINERALI DA CAVE E MINIERE;4;4
2014;AR;051;AREZZO;051002;AREZZO;SOCIETÀ DI CAPITALE;C;ATTIVITÀ MANIFATTURIERE;729;519
2014;AR;051;AREZZO;051002;AREZZO;SOCIETÀ DI CAPITALE;D;FORNITURA DI ENERGIA ELETTRICA, GAS, VAPORE E ARIA CONDIZIONATA;40;39
2014;AR;051;AREZZO;051002;AREZZO;SOCIETÀ DI CAPITALE;E;"FORNITURA DI ACQUA; RETI FOGNARIE";9;6
2014;AR;051;AREZZO;051002;AREZZO;SOCIETÀ DI CAPITALE;F;COSTRUZIONI;379;310
2014;AR;051;AREZZO;051002;AREZZO;SOCIETÀ DI CAPITALE;G;"COMMERCIO ALL'INGROSSO E AL DETTAGLIO; RIPARAZIONE DI AUTOVEICOLI E MOTOCICLI";897;643
2014;AR;051;AREZZO;051002;AREZZO;SOCIETÀ DI CAPITALE;H;TRASPORTO E MAGAZZINAGGIO;47;37
2014;AR;051;AREZZO;051002;AREZZO;SOCIETÀ DI CAPITALE;I;ATTIVITÀ DEI SERVIZI DI ALLOGGIO E DI RISTORAZIONE;186;138
2014;AR;051;AREZZO;051002;AREZZO;SOCIETÀ DI CAPITALE;J;SERVIZI DI INFORMAZIONE E COMUNICAZIONE;160;139
2014;AR;051;AREZZO;051002;AREZZO;SOCIETÀ DI CAPITALE;K;ATTIVITÀ FINANZIARIE E ASSICURATIVE;60;54
2014;AR;051;AREZZO;051002;AREZZO;SOCIETÀ DI CAPITALE;L;ATTIVITÀ IMMOBILIARI;510;435
2014;AR;051;AREZZO;051002;AREZZO;SOCIETÀ DI CAPITALE;M;ATTIVITÀ PROFESSIONALI, SCIENTIFICHE E TECNICHE;216;177
2014;AR;051;AREZZO;051002;AREZZO;SOCIETÀ DI CAPITALE;N;NOLEGGIO, AGENZIE DI VIAGGIO, SERVIZI DI SUPPORTO ALLE IMPRESE;102;81
2014;AR;051;AREZZO;051002;AREZZO;SOCIETÀ DI CAPITALE;P;ISTRUZIONE;21;18
2014;AR;051;AREZZO;051002;AREZZO;SOCIETÀ DI CAPITALE;Q;SANITÀ E ASSISTENZA SOCIALE;15;14
2014;AR;051;AREZZO;051002;AREZZO;SOCIETÀ DI CAPITALE;R;ATTIVITÀ ARTISTICHE, SPORTIVE, DI INTRATTENIMENTO E DIVERTIMENTO;63;51
2014;AR;051;AREZZO;051002;AREZZO;SOCIETÀ DI CAPITALE;S;ALTRE ATTIVITÀ DI SERVIZI;39;32
2014;AR;051;AREZZO;051002;AREZZO;SOCIETÀ DI PERSONE;n;Non indicato;33;1
2014;AR;051;AREZZO;051002;AREZZO;SOCIETÀ DI PERSONE;A;AGRICOLTURA, SILVICOLTURA E PESCA;54;53
2014;AR;051;AREZZO;051002;AREZZO;SOCIETÀ DI PERSONE;C;ATTIVITÀ MANIFATTURIERE;357;291
2014;AR;051;AREZZO;051002;AREZZO;SOCIETÀ DI PERSONE;D;FORNITURA DI ENERGIA ELETTRICA, GAS, VAPORE E ARIA CONDIZIONATA;1;1
2014;AR;051;AREZZO;051002;AREZZO;SOCIETÀ DI PERSONE;E;"FORNITURA DI ACQUA; RETI FOGNARIE";5;4
2014;AR;051;AREZZO;051002;AREZZO;SOCIETÀ DI PERSONE;F;COSTRUZIONI;162;131
